Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,2666.43,2696.47,2636.43,2696.43,149.85,0.25,0.00,-2.52,147.33,NewYork,2025.01.08 17:45:00,2025.01.10 17:33:14,0.01,12345,M15,EXECUTED,N/A
4,XAUUSD,BUY,2681.54,2711.54,2651.54,2711.54,149.90,0.25,0.00,-1.89,148.01,London,2025.01.15 08:15:00,2025.01.16 15:27:38,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,BUY,2734.15,2764.17,2704.15,2764.15,149.35,0.25,0.00,-3.15,146.20,London_NewYork_Overlap,2025.01.21 16:45:00,2025.01.24 04:00:27,0.01,12345,M15,EXECUTED,N/A
8,XAUUSD,BUY,2767.14,2797.17,2737.14,2797.14,150.25,0.25,0.00,0.00,150.25,London,2025.01.30 09:45:00,2025.01.30 18:00:41,0.01,12345,M15,EXECUTED,N/A
10,XAUUSD,BUY,2847.41,2877.42,2817.41,2877.41,149.65,0.25,0.00,0.00,149.65,Asia,2025.02.05 02:45:00,2025.02.05 17:28:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2841.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.02.06 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
12,XAUUSD,BUY,2888.26,2918.28,2858.26,2918.26,150.25,0.25,0.00,-0.63,149.62,London,2025.02.10 09:00:00,2025.02.11 01:36:39,0.01,12345,M15,EXECUTED,N/A
14,XAUUSD,BUY,2924.16,2894.12,2894.16,2954.16,-149.90,0.25,0.00,-0.63,-150.53,NewYork,2025.02.13 21:00:00,2025.02.14 17:32:36,0.01,12345,M15,EXECUTED,N/A
16,XAUUSD,BUY,2916.38,2946.41,2886.38,2946.38,149.80,0.25,0.00,-0.63,149.17,London_NewYork_Overlap,2025.02.18 14:45:00,2025.02.19 11:19:36,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2885.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.02.27 10:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,2863.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.02.28 05:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
18,XAUUSD,BUY,2899.27,2929.28,2869.27,2929.27,149.05,0.25,0.00,-0.63,148.42,London,2025.03.04 09:30:00,2025.03.05 18:24:37,0.01,12345,M15,EXECUTED,N/A
20,XAUUSD,BUY,2928.07,2958.07,2898.07,2958.07,149.40,0.25,0.00,-1.89,147.51,NewYork,2025.03.12 17:15:00,2025.03.13 16:38:40,0.01,12345,M15,EXECUTED,N/A
22,XAUUSD,BUY,3047.89,3017.85,3017.89,3077.89,-151.95,0.25,0.00,-2.52,-154.47,NewYork,2025.03.19 20:45:00,2025.03.21 15:38:36,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3014.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2025.03.21 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
24,XAUUSD,BUY,3035.10,3065.10,3005.10,3065.10,149.10,0.25,0.00,-0.63,148.47,Asia,2025.03.27 06:15:00,2025.03.28 03:13:28,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3048.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.04.04 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
26,XAUUSD,SELL,2966.15,2996.16,2996.15,2936.15,-152.85,0.25,0.00,-0.23,-153.08,NewYork,2025.04.07 20:15:00,2025.04.08 04:09:29,0.01,12345,M15,EXECUTED,N/A
28,XAUUSD,BUY,3142.98,3173.10,3112.98,3172.98,149.70,0.25,0.00,0.00,149.70,NewYork,2025.04.10 17:15:00,2025.04.10 18:39:39,0.01,12345,M15,EXECUTED,N/A
30,XAUUSD,BUY,3369.85,3399.89,3339.85,3399.85,149.30,0.25,0.00,0.00,149.30,Asia,2025.04.21 03:45:00,2025.04.21 14:37:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3277.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.04.23 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3258.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.05.01 03:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
32,XAUUSD,BUY,3389.71,3419.76,3359.71,3419.71,149.40,0.25,0.00,0.00,149.40,London_NewYork_Overlap,2025.05.06 15:45:00,2025.05.06 22:48:29,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3311.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.05.08 19:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3271.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.05.12 01:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
34,XAUUSD,SELL,3200.93,3170.85,3230.93,3170.93,150.85,0.25,0.00,0.00,150.85,London_NewYork_Overlap,2025.05.14 15:45:00,2025.05.14 22:00:38,0.01,12345,M15,EXECUTED,N/A
36,XAUUSD,BUY,3261.21,3291.23,3231.21,3291.21,147.55,0.25,0.00,0.00,147.55,NewYork,2025.05.20 17:00:00,2025.05.20 22:42:26,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3320.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.05.27 09:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
38,XAUUSD,BUY,3337.58,3367.63,3307.58,3367.58,149.35,0.25,0.00,0.00,149.35,London,2025.06.02 09:30:00,2025.06.02 16:45:38,0.01,12345,M15,EXECUTED,N/A
40,XAUUSD,BUY,3339.07,3369.19,3309.07,3369.07,150.60,0.25,0.00,-2.52,148.08,London_NewYork_Overlap,2025.06.10 14:15:00,2025.06.12 01:58:33,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3382.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.06.17 09:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,3365.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.06.18 22:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3355.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.06.19 09:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3346.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.06.20 06:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
42,XAUUSD,SELL,3249.32,3279.33,3279.32,3219.32,-146.70,0.25,0.00,0.00,-146.70,Asia,2025.06.30 01:30:00,2025.06.30 05:03:17,0.01,12345,M15,EXECUTED,N/A
44,XAUUSD,SELL,3310.96,3341.07,3340.96,3280.96,-149.55,0.25,0.00,-0.23,-149.78,Asia,2025.07.07 04:15:00,2025.07.08 01:01:31,0.01,12345,M15,EXECUTED,N/A
46,XAUUSD,SELL,3285.81,3315.82,3315.81,3255.81,-149.90,0.25,0.00,0.00,-149.90,London,2025.07.09 11:30:00,2025.07.09 22:12:23,0.01,12345,M15,EXECUTED,N/A
48,XAUUSD,BUY,3374.60,3344.55,3344.60,3404.60,-151.00,0.25,0.00,0.00,-151.00,London,2025.07.14 10:30:00,2025.07.14 17:38:36,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3338.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2025.07.15 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
50,XAUUSD,SELL,3312.91,3342.97,3342.91,3282.91,-149.65,0.25,0.00,-0.23,-149.88,London_NewYork_Overlap,2025.07.17 15:45:00,2025.07.18 01:37:25,0.01,12345,M15,EXECUTED,N/A
52,XAUUSD,BUY,3403.71,3433.76,3373.71,3433.71,149.60,0.25,0.00,-0.63,148.97,London_NewYork_Overlap,2025.07.22 15:45:00,2025.07.23 03:12:04,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3379.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.07.24 06:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,3345.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.07.25 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
54,XAUUSD,SELL,3321.94,3291.94,3351.94,3291.94,150.25,0.25,0.00,-0.46,149.79,London_NewYork_Overlap,2025.07.28 16:45:00,2025.07.30 18:22:26,0.01,12345,M15,EXECUTED,N/A
56,XAUUSD,BUY,3367.68,3397.68,3337.68,3397.68,149.20,0.25,0.00,-3.15,146.05,London_NewYork_Overlap,2025.08.04 14:30:00,2025.08.07 22:37:50,0.01,12345,M15,EXECUTED,N/A
58,XAUUSD,SELL,3339.87,3369.92,3369.87,3309.87,-150.05,0.25,0.00,-0.23,-150.28,London_NewYork_Overlap,2025.08.12 15:30:00,2025.08.13 17:08:40,0.01,12345,M15,EXECUTED,N/A
60,XAUUSD,BUY,3373.02,3342.85,3343.02,3403.02,-151.45,0.25,0.00,0.00,-151.45,Asia,2025.08.14 03:30:00,2025.08.14 11:00:34,0.01,12345,M15,EXECUTED,N/A
62,XAUUSD,SELL,3329.12,3358.81,3358.67,3299.12,-148.20,0.25,0.00,-1.38,-149.58,Asia,2025.08.18 02:30:00,2025.08.22 17:10:23,0.01,12345,M15,EXECUTED,N/A
64,XAUUSD,BUY,3388.34,3418.41,3358.34,3418.34,149.65,0.25,0.00,-2.52,147.13,Asia,2025.08.26 22:15:00,2025.08.28 20:52:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3618.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.09.11 12:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
66,XAUUSD,BUY,3686.46,3656.20,3656.46,3716.46,-151.90,0.25,0.00,-0.63,-152.53,Asia,2025.09.16 04:00:00,2025.09.17 21:01:13,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3650.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.09.17 22:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,3637.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.09.18 09:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,3630.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2025.09.18 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
68,XAUUSD,BUY,3770.19,3740.17,3740.19,3800.19,-150.35,0.25,0.00,-0.63,-150.98,London,2025.09.23 11:45:00,2025.09.24 18:58:55,0.01,12345,M15,EXECUTED,N/A
70,XAUUSD,BUY,3764.34,3794.53,3734.34,3794.34,148.60,0.25,0.00,-0.63,147.97,London_NewYork_Overlap,2025.09.26 16:15:00,2025.09.29 05:21:19,0.01,12345,M15,EXECUTED,N/A
72,XAUUSD,BUY,3979.49,4009.53,3949.49,4009.49,150.85,0.25,0.00,-0.63,150.22,London_NewYork_Overlap,2025.10.07 16:00:00,2025.10.08 05:54:18,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,3985.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.10.09 19:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
74,XAUUSD,BUY,4128.54,4158.56,4098.54,4158.54,150.00,0.25,0.00,0.00,150.00,Asia,2025.10.14 02:45:00,2025.10.14 06:24:40,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,4036.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.10.22 03:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3998.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2025.10.27 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,3960.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NoSession,2025.10.28 07:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,4038.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2025.10.31 01:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
76,XAUUSD,SELL,3951.06,3981.33,3981.06,3921.06,-152.00,0.25,0.00,-0.23,-152.23,London_NewYork_Overlap,2025.11.04 16:30:00,2025.11.05 10:05:35,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,3991.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.11.06 09:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
78,XAUUSD,BUY,4020.60,4050.66,3990.60,4050.60,146.35,0.25,0.00,-0.63,145.72,NewYork,2025.11.07 18:45:00,2025.11.10 03:26:26,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,4132.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2025.11.14 14:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,4019.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2025.11.17 21:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
80,XAUUSD,SELL,4002.50,4032.53,4032.50,3972.50,-151.35,0.25,0.00,0.00,-151.35,London,2025.11.18 09:30:00,2025.11.18 10:33:22,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,4031.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.11.21 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
82,XAUUSD,BUY,4162.53,4192.54,4132.53,4192.53,147.80,0.25,0.00,-2.52,145.28,Asia,2025.11.26 04:30:00,2025.11.28 03:42:36,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,4190.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2025.12.02 11:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
