=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
LL,Update,2031.01,2023.11.30 16:00:00,H1,Accepted,,
HH,Bullish,2144.77,2023.12.04 01:00:00,H1,Updated,,1970.01.01 00:00:00
HH,Update,2144.77,2023.12.04 01:00:00,H1,Accepted,,
LL,Bearish,2020.13,2023.12.04 17:00:00,H1,Updated,2031.01,1970.01.01 00:00:00
LL,Update,2020.13,2023.12.04 17:00:00,H1,Accepted,,
LL,Bearish,2009.80,2023.12.05 17:00:00,H1,Updated,2020.13,1970.01.01 00:00:00
LL,Update,2009.80,2023.12.05 17:00:00,H1,Accepted,,
LL,Bearish,1975.78,2023.12.11 20:00:00,H1,Updated,2009.80,1970.01.01 00:00:00
LL,Update,1975.78,2023.12.11 20:00:00,H1,Accepted,,
LL,Bearish,1973.00,2023.12.13 08:00:00,H1,Updated,1975.78,1970.01.01 00:00:00
LL,Update,1973.00,2023.12.13 08:00:00,H1,Accepted,,
HH,Update,2055.09,2023.12.22 01:45:00,M15,Accepted,,
HH,Update,2070.70,2023.12.22 17:00:00,M15,Accepted,,
LL,Update,2051.01,2023.12.22 18:45:00,M15,Accepted,,
HH,Update,2084.51,2023.12.27 20:00:00,M15,Accepted,,
HH,Update,2088.51,2023.12.28 04:45:00,M15,Accepted,,
HH,Update,2066.05,2024.01.03 13:30:00,M15,Accepted,,
CHoCH,Bearish,2030.49,2024.01.03 19:30:00,M15,Confirmed,2088.51,1970.01.01 00:00:00
HH,Update,2066.05,2024.01.03 19:30:00,M15,Accepted,,
LL,Update,2030.49,2024.01.03 19:30:00,M15,Accepted,,
HH,Update,2066.05,2024.01.03 19:30:00,M15,Accepted,,
HH,Update,2051.04,2024.01.04 11:30:00,M15,Accepted,,
CHoCH,Bullish,2064.07,2024.01.05 17:15:00,M15,Confirmed,2030.49,1970.01.01 00:00:00
LL,Update,2030.49,2024.01.05 17:15:00,M15,Accepted,,
LL,Update,2030.49,2024.01.05 17:15:00,M15,Accepted,,
HH,Update,2064.07,2024.01.05 17:15:00,M15,Accepted,,
HH,Update,2064.07,2024.01.08 07:30:00,M15,Accepted,,
CHoCH,Bearish,2016.61,2024.01.08 13:15:00,M15,Confirmed,2064.07,1970.01.01 00:00:00
HH,Update,2064.07,2024.01.08 13:15:00,M15,Accepted,,
LL,Update,2016.61,2024.01.08 13:15:00,M15,Accepted,,
HH,Update,2064.07,2024.01.08 13:15:00,M15,Accepted,,
HH,Update,2036.95,2024.01.08 18:00:00,M15,Accepted,,
LL,Update,2016.61,2024.01.09 12:30:00,M15,Accepted,,
CHoCH,Bullish,2042.09,2024.01.09 15:30:00,M15,Confirmed,2016.61,1970.01.01 00:00:00
LL,Update,2016.61,2024.01.09 15:30:00,M15,Accepted,,
HH,Update,2042.09,2024.01.09 15:30:00,M15,Accepted,,
LL,Update,2025.95,2024.01.09 18:00:00,M15,Accepted,,
HH,Update,2042.09,2024.01.10 08:00:00,M15,Accepted,,
CHoCH,Bearish,2023.72,2024.01.10 08:45:00,M15,Confirmed,2042.09,1970.01.01 00:00:00
HH,Update,2042.09,2024.01.10 08:45:00,M15,Accepted,,
LL,Update,2023.72,2024.01.10 08:45:00,M15,Accepted,,
HH,Update,2042.09,2024.01.10 08:45:00,M15,Accepted,,
HH,Update,2040.37,2024.01.10 12:00:00,M15,Accepted,,
BoS,Bearish,2023.72,2024.01.10 20:15:00,M15,Confirmed,2040.37,1970.01.01 00:00:00
LL,Update,2020.31,2024.01.10 21:15:00,M15,Accepted,,
HH,Update,2045.80,2024.01.11 15:30:00,M15,Accepted,,
BoS,Bearish,2020.31,2024.01.11 18:15:00,M15,Confirmed,2040.37,1970.01.01 00:00:00
LL,Update,2013.16,2024.01.11 19:45:00,M15,Accepted,,
LL,Update,2013.16,2024.01.12 14:15:00,M15,Accepted,,
CHoCH,Bullish,2062.33,2024.01.12 16:30:00,M15,Confirmed,2013.16,1970.01.01 00:00:00
LL,Update,2013.16,2024.01.12 16:30:00,M15,Accepted,,
HH,Update,2062.33,2024.01.12 16:30:00,M15,Accepted,,
LL,Update,2041.29,2024.01.12 19:45:00,M15,Accepted,,
HH,Update,2056.41,2024.01.16 11:00:00,M15,Accepted,,
CHoCH,Bearish,2024.19,2024.01.16 20:45:00,M15,Confirmed,2062.33,1970.01.01 00:00:00
HH,Update,2056.41,2024.01.16 20:45:00,M15,Accepted,,
LL,Update,2024.19,2024.01.16 20:45:00,M15,Accepted,,
HH,Update,2056.41,2024.01.16 20:45:00,M15,Accepted,,
HH,Update,2033.00,2024.01.17 04:00:00,M15,Accepted,,
BoS,Bearish,2024.19,2024.01.17 06:00:00,M15,Confirmed,2056.41,1970.01.01 00:00:00
LL,Update,2017.49,2024.01.17 08:15:00,M15,Accepted,,
HH,Update,2029.08,2024.01.17 14:45:00,M15,Accepted,,
BoS,Bearish,2017.49,2024.01.17 16:45:00,M15,Confirmed,2033.00,1970.01.01 00:00:00
LL,Update,2001.68,2024.01.17 20:30:00,M15,Accepted,,
LL,Update,2001.68,2024.01.19 11:00:00,M15,Accepted,,
CHoCH,Bullish,2039.50,2024.01.19 15:30:00,M15,Confirmed,2001.68,1970.01.01 00:00:00
LL,Update,2001.68,2024.01.19 15:30:00,M15,Accepted,,
HH,Update,2039.50,2024.01.19 15:30:00,M15,Accepted,,
LL,Update,2022.94,2024.01.19 17:15:00,M15,Accepted,,
HH,Update,2039.50,2024.01.22 07:30:00,M15,Accepted,,
CHoCH,Bearish,2019.00,2024.01.22 09:00:00,M15,Confirmed,2039.50,1970.01.01 00:00:00
HH,Update,2039.50,2024.01.22 09:00:00,M15,Accepted,,
LL,Update,2019.00,2024.01.22 09:00:00,M15,Accepted,,
HH,Update,2039.50,2024.01.22 09:00:00,M15,Accepted,,
HH,Update,2030.27,2024.01.22 14:45:00,M15,Accepted,,
BoS,Bearish,2019.00,2024.01.22 16:30:00,M15,Confirmed,2039.50,1970.01.01 00:00:00
LL,Update,2016.42,2024.01.22 16:30:00,M15,Accepted,,
CHoCH,Bullish,2037.98,2024.01.23 09:00:00,M15,Confirmed,2016.42,1970.01.01 00:00:00
LL,Update,2016.42,2024.01.23 09:00:00,M15,Accepted,,
LL,Update,2016.42,2024.01.23 09:00:00,M15,Accepted,,
HH,Update,2037.98,2024.01.23 09:00:00,M15,Accepted,,
LL,Update,2021.31,2024.01.23 16:30:00,M15,Accepted,,
HH,Update,2036.78,2024.01.24 15:30:00,M15,Accepted,,
HH,Update,2030.78,2024.01.24 17:15:00,M15,Accepted,,
CHoCH,Bearish,2011.06,2024.01.24 21:15:00,M15,Confirmed,2037.98,1970.01.01 00:00:00
HH,Update,2036.78,2024.01.24 21:15:00,M15,Accepted,,
LL,Update,2011.06,2024.01.24 21:15:00,M15,Accepted,,
HH,Update,2036.78,2024.01.24 21:15:00,M15,Accepted,,
LL,Update,2009.47,2024.01.25 15:30:00,M15,Accepted,,
HH,Update,2025.44,2024.01.25 16:45:00,M15,Accepted,,
HH,Update,2026.75,2024.01.26 15:30:00,M15,Accepted,,
HH,Update,2026.75,2024.01.26 15:30:00,M15,Accepted,,
CHoCH,Bullish,2028.48,2024.01.29 01:15:00,M15,Confirmed,2009.47,1970.01.01 00:00:00
